Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
185,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,0,,N,,20 to 29,25,Germany,Europe,Europe,01-04-2020,0,0.648778288
186,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,28,Germany,Europe,Europe,01-04-2018,2,0.126961423
187,Male,5 - Senior Officer,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,#REF!,5 - Senior Officer & Sales & Marketing,#REF!,5 - Senior Officer,3,5 - Senior Officer,N,,30 to 39,30,China,Asia Pacific,Elsewhere,01-04-2017,3,0.95344289
188,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,#REF!,5 - Senior Officer & Sales & Marketing,#REF!,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.436384182
189,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.304079618
190,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,5 - Senior Officer & Operations,#REF!,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,33,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.08997938
191,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,5 - Senior Officer,N,3,60 to 69,62,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.834060683
192,Male,2 - Director,Y,,No,No,0.50,No,N,Operations,,2 - Director,Operations,Full Time,Full Time,#REF!,2 - Director & Operations,Uneven - Men benefit,2 - Director,0,,N,,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.932641949
193,Male,4 - Manager,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,9,4 - Manager,N,3,20 to 29,25,France,Europe,Europe,01-04-2011,9,0.613774037
194,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,#REF!,6 - Junior Officer & Internal Services,#REF!,6 - Junior Officer,0,,N,,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.282850368
195,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,5 - Senior Officer & Operations,#REF!,5 - Senior Officer,2,5 - Senior Officer,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.265788142
196,Male,3 - Senior Manager,Y,,No,No,0.50,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,#REF!,3 - Senior Manager & Operations,#REF!,3 - Senior Manager,0,,N,,40 to 49,40,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.221196883
197,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Finance,,6 - Junior Officer,Finance,Full Time,Full Time,#REF!,6 - Junior Officer & Finance,#REF!,6 - Junior Officer,5,6 - Junior Officer,N,2,20 to 29,23,France,Europe,Europe,01-04-2015,5,0.300916832
198,Female,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,1,6 - Junior Officer,N,,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.789384766
199,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,#REF!,6 - Junior Officer & Internal Services,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.053120915
200,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,4,5 - Senior Officer,N,3,40 to 49,41,Italy,Europe,Europe,01-04-2011,9,0.535730472
201,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,HR,,5 - Senior Officer,HR,60%,Part Time,#REF!,5 - Senior Officer & HR,#REF!,5 - Senior Officer,0,,N,,30 to 39,33,France,Europe,Europe,01-04-2020,0,0.37610565
202,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,#REF!,4 - Manager & Internal Services,#REF!,4 - Manager,3,4 - Manager,N,2,30 to 39,34,United States,Americas,Elsewhere,01-04-2012,8,0.103665669
203,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,Germany,Europe,Europe,01-04-2019,1,0.386519642
204,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,0,,N,,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.139266233
205,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,#REF!,3 - Senior Manager & Sales & Marketing,#REF!,3 - Senior Manager,3,3 - Senior Manager,N,3,40 to 49,40,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.172141434
206,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Finance,,4 - Manager,Finance,Full Time,Full Time,#REF!,4 - Manager & Finance,#REF!,4 - Manager,1,#REF!,Y,1,30 to 39,36,United Kingdom,Europe,Europe,01-04-2015,5,0.738970919
207,Male,2 - Director,Y,,No,No,0.50,No,N,Internal Services,,2 - Director,Internal Services,Full Time,Full Time,#REF!,2 - Director & Internal Services,Uneven - Men benefit,2 - Director,0,,N,,30 to 39,38,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.217939353
208,Female,6 - Junior Officer,N,1,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,#REF!,6 - Junior Officer & Internal Services,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.070799764
209,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,28,Germany,Europe,Europe,01-04-2017,3,0.436532136
210,Female,4 - Manager,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,4 - Manager,N,2,50 to 59,51,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.4011224
211,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,21,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.562038829
212,Male,5 - Senior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,#REF!,5 - Senior Officer & Sales & Marketing,#REF!,5 - Senior Officer,0,,N,,20 to 29,27,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.003497923
213,Female,2 - Director,N,4,No,Yes,0.50,No,Y,HR,,2 - Director,HR,Full Time,Full Time,#REF!,2 - Director & HR,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,44,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.458250743
214,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,0,,N,,20 to 29,28,France,Europe,Europe,01-04-2020,0,0.236363769
215,Male,4 - Manager,N,1,Yes,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,#REF!,4 - Manager & Operations,#REF!,4 - Manager,3,4 - Manager,N,3,30 to 39,37,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.340405416
216,Female,5 - Senior Officer,N,,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3,5 - Senior Officer,N,2,40 to 49,44,France,Europe,Europe,01-04-2011,9,0.857076832
217,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.795440254
218,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,#REF!,5 - Senior Officer & Sales & Marketing,#REF!,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.703041193
219,Female,3 - Senior Manager,Y,,No,No,0.50,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,#REF!,3 - Senior Manager & Operations,#REF!,3 - Senior Manager,0,,N,,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.643495832
220,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,#REF!,5 - Senior Officer & Sales & Marketing,#REF!,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,01-04-2011,9,0.637668387
221,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,Strategy,,5 - Senior Officer,Strategy,Full Time,Full Time,#REF!,5 - Senior Officer & Strategy,#REF!,5 - Senior Officer,0,,N,,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.792325456
222,Male,2 - Director,N,3,Yes,Yes,0.50,No,Y,Sales & Marketing,,1 - Executive,Sales & Marketing,Full Time,Full Time,#REF!,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,6,2 - Director,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.520232407
223,Female,5 - Senior Officer,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,5,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.842075049
224,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,#REF!,3 - Senior Manager & Internal Services,#REF!,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,46,Germany,Europe,Europe,01-04-2011,9,0.979252246
225,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,#REF!,5 - Senior Officer & Sales & Marketing,#REF!,5 - Senior Officer,1,#REF!,Y,1,20 to 29,25,Romania,Europe,Europe,01-04-2014,6,0.169853214
226,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,21,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.194963048
227,Male,4 - Manager,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,4 - Manager,N,2,40 to 49,43,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.870616751
228,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,#REF!,5 - Senior Officer & Internal Services,#REF!,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.755494928
229,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,#REF!,3 - Senior Manager & Internal Services,#REF!,3 - Senior Manager,3,3 - Senior Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.814532854
230,Female,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,2,6 - Junior Officer,N,3,40 to 49,42,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.25575762
231,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Finance,,3 - Senior Manager,Finance,Full Time,Full Time,#REF!,3 - Senior Manager & Finance,#REF!,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,France,Europe,Europe,01-04-2016,4,0.975100945
232,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,34,Spain,Europe,Europe,01-04-2017,3,0.227270849
233,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Strategy,,6 - Junior Officer,Strategy,80%,Part Time,#REF!,6 - Junior Officer & Strategy,#REF!,6 - Junior Officer,0,,N,,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.464759872
234,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,29,Germany,Europe,Europe,01-04-2018,2,0.496530534
235,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,#REF!,4 - Manager & Internal Services,#REF!,4 - Manager,2,4 - Manager,N,3,30 to 39,32,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.564640729
236,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.610153301
237,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,4,6 - Junior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.696289993
238,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,0,,N,,20 to 29,22,France,Europe,Europe,01-04-2020,0,0.487481651
239,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,#REF!,4 - Manager & Sales & Marketing,#REF!,4 - Manager,2,4 - Manager,N,2,30 to 39,36,Italy,Europe,Europe,01-04-2014,6,0.133997608
240,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,27,Italy,Europe,Europe,01-04-2016,4,0.399649351
241,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,#REF!,4 - Manager & Internal Services,#REF!,4 - Manager,2,4 - Manager,N,2,30 to 39,38,Germany,Europe,Europe,01-04-2018,2,0.860507483
242,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,3,5 - Senior Officer,N,3,30 to 39,37,France,Europe,Europe,01-04-2017,3,0.95657118
243,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,#REF!,2 - Director & Operations,Uneven - Men benefit,2 - Director,1,#REF!,Y,2,40 to 49,42,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.294196489
244,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,#REF!,3 - Senior Manager & Sales & Marketing,#REF!,3 - Senior Manager,4,3 - Senior Manager,N,4,40 to 49,41,United Kingdom,Europe,Europe,01-04-2011,9,0.562218369
245,Female,5 - Senior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,,Operations,70%,Part Time,,,,,5,5 - Senior Officer,N,3,40 to 49,49,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.585581936
246,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,5,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.799216649
247,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.742344794
248,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,#REF!,4 - Manager & Operations,#REF!,4 - Manager,1,#REF!,Y,1,30 to 39,30,Spain,Europe,Europe,01-04-2012,8,0.030509081
249,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,21,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.725755017
250,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,5,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.281987764
251,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.829012014
252,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.8772412
253,Male,6 - Junior Officer,N,4,No,Yes,0.50,No,Y,Finance,,6 - Junior Officer,Finance,Full Time,Full Time,#REF!,6 - Junior Officer & Finance,#REF!,6 - Junior Officer,5,6 - Junior Officer,N,2,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.83646381
254,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,#REF!,6 - Junior Officer & Internal Services,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.920813029
255,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.016843339
256,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,5 - Senior Officer & Operations,#REF!,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,01-04-2015,5,0.391376337
257,Male,1 - Executive,N,,No,No,0.50,No,Y,Strategy,,1 - Executive,Strategy,Full Time,Full Time,,,,,3,1 - Executive,N,3,40 to 49,43,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.57476634
258,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,01-04-2018,2,0.356605511
259,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,HR,,6 - Junior Officer,HR,Full Time,Full Time,#REF!,6 - Junior Officer & HR,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.207659948
260,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,#REF!,5 - Senior Officer & Sales & Marketing,#REF!,5 - Senior Officer,2,5 - Senior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.849251384
261,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,#REF!,4 - Manager & HR,#REF!,4 - Manager,7,4 - Manager,N,3,30 to 39,39,France,Europe,Europe,01-04-2013,7,0.846396149
262,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Finance,,2 - Director,Finance,Full Time,Full Time,#REF!,2 - Director & Finance,Uneven - Men benefit,2 - Director,1,#REF!,Y,2,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.666727813
263,Male,5 - Senior Officer,Y,,No,No,0.50,No,N,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,5 - Senior Officer & Operations,#REF!,5 - Senior Officer,0,,N,,20 to 29,27,Austria,Europe,Europe,01-04-2020,0,0.360414496
264,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,28,France,Europe,Europe,01-04-2019,1,0.649132352
265,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,#REF!,4 - Manager & Operations,#REF!,4 - Manager,2,4 - Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.218183902
266,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,80%,Part Time,#REF!,5 - Senior Officer & Operations,#REF!,5 - Senior Officer,2,5 - Senior Officer,N,2,30 to 39,32,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.190888627
267,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Finance,,5 - Senior Officer,Finance,Full Time,Full Time,#REF!,5 - Senior Officer & Finance,#REF!,5 - Senior Officer,1,#REF!,Y,1,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.356409992
268,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,France,Europe,Europe,01-04-2017,3,0.112959035
269,Male,5 - Senior Officer,N,3,Yes,Yes,0.50,No,Y,Strategy,,4 - Manager,Strategy,Full Time,Full Time,#REF!,5 - Senior Officer & Strategy,#REF!,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.776117292
270,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,5,6 - Junior Officer,N,3,20 to 29,27,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.958126696
271,Female,4 - Manager,N,4,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,#REF!,4 - Manager & Sales & Marketing,#REF!,4 - Manager,3,4 - Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.116417512
272,Female,2 - Director,Y,,No,No,0.50,No,N,Operations,,2 - Director,Operations,Full Time,Full Time,#REF!,2 - Director & Operations,Uneven - Men benefit,2 - Director,0,,N,,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.381361043
273,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,#REF!,6 - Junior Officer & Internal Services,#REF!,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.314404292
274,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,2,6 - Junior Officer,N,3,16 to 19,19,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.266351184
275,Female,2 - Director,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,5,2 - Director,N,,40 to 49,41,France,Europe,Europe,01-04-2015,5,0.913898141
276,Male,6 - Junior Officer,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,#REF!,6 - Junior Officer & Sales & Marketing,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,2,16 to 19,19,France,Europe,Europe,01-04-2017,3,0.894862132
277,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,#REF!,6 - Junior Officer & Operations,#REF!,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,23,France,Europe,Europe,01-04-2017,3,0.828847454
278,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,#REF!,3 - Senior Manager & Sales & Marketing,#REF!,3 - Senior Manager,4,3 - Senior Manager,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.412437931
